tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086002404,,,,,,,1,1,1,9,10,18,11,51
12086002501,,,,,,,2,,2,6,8,9,4,31
12086002502,,,,,,1,,1,2,7,5,3,6,25
12086002600,,,,,,1,,2,3,5,3,5,5,24
12086002702,,,,,,,1,,2,2,2,2,1,10
12086002703,,,,,,,,1,2,3,3,3,3,15
12086002705,,,,,,,,,2,2,6,3,7,20
12086002706,1,,,,,,1,,1,1,3,2,1,10
12086002800,,,,,,,,,1,1,1,,1,4
12086002900,1,,,,1,1,1,1,9,6,22,16,17,75
12086003001,2,,,,,,1,,7,3,10,21,32,76
12086003003,1,,,,1,,2,,3,10,13,10,18,58
12086003004,,,,,1,,,1,3,9,15,13,7,49
12086003100,,,,1,,,1,1,5,13,10,11,4,46
12086003400,,,,,,,,,4,1,5,2,4,16
12086003601,,,,,,,3,1,3,5,11,10,13,46
12086003602,,,,,,,2,4,5,9,11,16,14,61
12086003702,1,,,,,,1,2,2,1,1,,1,9
12086003703,,,,,,,,,,1,1,,1,3
12086003704,,,,,,,,,,1,2,2,,5
12086003705,,,,,,,,,2,,,,,2
12086003706,,,,,,,,,,1,,1,,2
12086003707,,,,,,,,1,,2,3,1,1,8
12086003801,1,,,,,,,1,2,4,5,4,16,33
12086003803,,,,,,,,,,1,3,3,28,35
12086003804,,,,,,,1,1,1,3,5,12,25,48
12086003906,,,,,,,,1,,1,1,3,6,12
12086003909,,,,,,,,1,1,2,3,4,10,21
12086003911,,,1,,,,,1,4,7,6,7,12,38
12086003912,,,,,,,,,,2,2,3,5,12
12086003913,,,,,,,,1,2,2,5,5,13,28
12086003914,,,,,,,,,2,3,5,5,13,28
12086003915,,,,,,,,,,7,2,7,9,25
12086003916,2,,,,,,,,1,4,3,1,7,18
12086003917,,,,,,,1,1,3,6,10,14,12,47
12086003918,,,,,,,,2,1,2,3,2,2,12
12086003919,,,,,,,,1,,,,8,12,21
12086003921,,,,,,,,2,1,3,6,6,10,28
12086003922,,,,,,,,,1,,,7,10,18
12086004000,,,,,,,1,1,2,2,3,2,16,27
12086004102,,,,1,,,,1,1,2,,4,12,21
12086004103,1,,,,,1,,1,1,4,2,3,6,19
12086004105,,,,,,,,,2,1,3,6,16,28
12086004106,,,,,,,2,,,1,2,1,9,15
12086004203,,,,,,,,2,1,3,2,4,8,20
12086004204,,,,,,,,2,2,3,2,,5,14
12086004205,,,,,,,,,1,,1,2,7,11
12086004206,,,,,,,,,,1,1,1,1,4
12086004301,,,,,,,,1,,2,2,2,2,9
12086004303,,,,,,,,,1,2,3,1,1,8
12086004304,,,,1,,1,,1,,3,2,4,4,16
12086004403,,,,,,,,1,,9,9,12,8,39
12086004404,1,,,,,,,,,1,4,8,10,24
12086004405,,1,,,,,,,1,1,1,2,1,7
12086004406,,,,,,,,,1,1,1,3,6,12
12086004500,,,,,,,,1,1,1,8,18,27,56
12086004602,,,,,,,1,,,,3,3,5,12
12086004605,,,,,,,,,2,2,1,5,11,21
12086004607,,,,,,,,,3,,3,3,13,22
12086004608,,,,,,,,,2,,,5,2,9
12086004701,,,,,,,,2,,5,10,5,24,46
12086004702,,,,,,,,,1,2,4,17,14,38
12086004703,,,,,,1,,,1,4,6,18,43,73
12086004901,1,,,,,,,,,3,6,2,5,17
12086004902,,,,,1,1,,1,2,3,7,18,38,71
12086005001,,,,,,,,2,3,9,7,13,29,63
12086005002,1,,,,,,,,4,8,9,16,26,64
12086005102,,,,,,,,1,3,6,10,7,15,42
12086005103,,,,,,,,,1,2,3,5,10,21
12086005104,,,,,,2,,,2,,3,6,10,23
12086005201,1,,,,,1,2,1,4,4,4,7,16,40
12086005202,,,1,,,1,1,1,1,6,16,13,32,72
12086005302,,,,,,,1,1,7,11,18,25,39,102
12086005303,1,,,,,,,,,2,2,6,11,22
12086005304,,,,,,,2,,3,2,7,11,13,38
12086005403,,,,,,,,,,1,1,1,10,13
12086005405,,,,,,,,,1,2,3,10,9,25
12086005406,,,,,,1,,1,2,5,4,15,9,37
12086005407,,,,,,,,,1,1,4,7,11,24
12086005409,,,,,,,1,,1,3,5,9,6,25
12086005410,,,,,,,,1,,4,10,5,5,25
12086005501,,,,,,1,1,1,4,6,11,21,35,80
12086005502,1,,,,,,,3,2,6,8,27,28,75
12086005600,,,,,,,1,,3,3,2,14,23,46
12086005701,,,,,,,,1,1,9,7,17,41,76
12086005703,,,,,,,2,2,2,4,7,15,37,69
12086005704,,,,,1,2,,1,3,6,11,13,37,74
12086005801,,1,,,,,,2,4,6,14,18,39,84
12086005802,,,,,,,1,3,4,11,10,30,46,105
12086005901,,,,,,,,2,1,4,3,15,26,51
12086005902,,,,,,1,,,2,3,9,20,25,60
12086005903,,,,,1,1,,,1,4,12,13,21,53
12086005904,,1,,,,,1,,3,3,4,13,25,50
12086006001,2,,,,,,1,,3,7,6,17,23,59
12086006002,,,,,,,,2,3,4,3,15,28,55
12086006101,,1,,1,,,,,2,3,11,8,28,54
12086006102,,,,,1,,,,,3,5,9,29,47
12086006201,,,,,1,1,,,1,2,2,7,17,31
12086006203,,,,,,,,,,1,4,6,20,31
12086006205,,,,,,1,,1,2,1,5,5,11,26
12086006206,,,,,,,,,,3,,3,7,13
12086006301,1,,,,,,,,4,2,6,18,38,69
12086006302,,,,,1,1,,,2,5,5,17,27,58
12086006401,,,,,,,,1,2,6,4,9,8,30
12086006402,,,,,,,1,,1,2,3,9,14,30
12086006403,,,,,,,,1,,5,2,7,17,32
12086006501,,,,,,2,,,1,1,8,12,15,39
12086006503,,,,,,,,,,3,1,10,11,25
12086006504,,,,,,,,,,1,1,5,7,14
12086006601,2,,,,,,,,1,4,13,12,29,61
12086006602,,,,,,2,,3,1,2,6,7,12,33
12086006702,,,,,,2,2,2,5,4,3,2,11,31
12086006705,,,,,,,,,,,3,5,12,20
12086006706,,,,,,,,,1,2,3,8,7,21
12086006707,,,,,,,,,1,1,5,3,3,13
12086006711,,,,,,,,,1,,3,1,,5
12086006713,,,,,,,,,1,1,,,3,5
12086006714,,,,,,,,,,2,1,5,5,13
12086006801,,,,,,,,1,1,,2,6,6,16
12086006802,2,,,,,,,1,,5,8,17,18,51
12086006900,,,,,1,,,,2,,4,15,21,43
12086007001,,,,,,,1,2,4,8,13,16,35,79
12086007002,,,,,,1,,1,4,5,8,21,22,62
12086007101,,,,,,,,2,,4,6,6,9,27
12086007103,,,,,,,,,1,,1,,2,4
12086007104,,,,,,,,,1,2,4,3,,10
12086007200,,,,,,,,1,6,3,2,10,5,27
12086007300,,,,,,,,,,4,,6,9,19
12086007400,,,,,,1,1,,4,2,4,12,30,54
12086007501,,,,,1,1,,,,,3,4,11,20
12086007503,,,,,,,,,1,2,2,,5,10
12086007601,,,,,,,,,,2,4,4,12,22
12086007603,,,,,,,,,1,2,6,6,6,21
12086007604,,,,,,1,1,2,3,4,1,3,9,24
12086007605,,,,,,,1,,1,2,6,4,5,19
12086007606,,,,,,,,,4,3,5,13,22,47
12086007701,,,,,,1,2,,2,4,8,21,40,78
12086007702,,,,,,,1,1,4,2,7,15,34,64
12086007704,,,,,1,,,,1,4,1,6,7,20
12086007705,,,,,,1,,1,1,2,7,12,15,39
